District,Murder,Robbery,Theft,Total_IPC_Crime
Bangaon,21,0,482,3004
Islampur,49,0,2,2104
Jangipur Police District,27,0,0,2480
Krishnagar,77,0,128,5782
Raiganj,25,0,1,3376
Ranaghat,41,0,0,4332
South Andaman,7,0,17,488
North & Middle Andaman,1,0,3,88
Nicobar,0,0,0,11
Chandigarh,17,0,2,3285
D&N Haveli,15,0,0,547
Daman,5,0,0,174
Diu,0,0,0,40
Central,31,0,13,18567
Crime Branch,0,0,0,123
East,24,0,42,21875
EOW,0,0,0,94
IGI Airport,0,0,0,680
Metro,0,0,0,6262
New Delhi,4,0,9,2784
North,33,0,29,27193
North-East,42,0,95,26663
North-West,32,0,32,28431
Outer,45,0,31,23750
RAILWAY,3,0,1,5008
South,36,0,95,24309
South-East,51,0,46,25732
South-West,30,0,18,12083
Spl Cell,0,0,0,173
SPUWAC,0,0,0,111
Vigilance,0,0,0,0
West,31,0,30,27606
Rohini,25,0,39,18264
Shahdara,21,0,58,15210
Dwarka,40,0,36,23346
Outer North,58,0,48,15993
Anantnag,1,0,0,1303
Awantipora,1,0,0,495
Bandipora,0,0,0,468
Baramulla,2,0,0,1104
Budgam,5,0,0,1161
Special Crime Wing Jammu,0,0,0,36
Special Crime Wing Kashmir,0,0,0,17
Doda,1,0,0,657
Ganderbal,0,0,0,707
Handwara,0,0,0,506
Jammu,14,0,0,4409
Kathua,9,1,0,1391
Kishtwar,1,0,0,424
Kulgam,2,0,0,802
Kupwara,3,0,0,647
Poonch,5,0,0,996
Pulwama,3,0,0,575
Railways Jammu,0,0,0,26
Railways Kashmir,0,0,0,9
Railways Katra,0,0,0,12
Rajouri,11,0,0,1410
Ramban,0,0,0,1162
Reasi,7,0,0,960
Samba,6,0,0,927
Shopian,1,0,0,411
Sopore,2,0,0,537
Srinagar,6,0,0,2377
Udhampur,4,0,0,1436
Cyber Crime Jammu,0,0,0,0
Cyber Crime Kashmir,0,0,0,0
Anti Narcotic Task Force Jammu,0,0,0,0
Anti Narcotic Task Force Kashmir,0,0,0,0
EOW Jammu,0,0,0,102
EOW Kashmir,0,0,0,60
CICE Jammu,0,0,0,0
CICE Kashmir,0,0,0,0
Kargil,0,0,0,168
Leh,2,0,0,291
Lakshadweep,0,0,0,76
Karaikal,1,0,0,474
Puducherry,27,0,0,2874
