District,Murder,Robbery,Theft,Total_IPC_Crime
Narmada,7,0,0,2930
Navsari,17,0,0,4726
Panchmahal,29,0,0,3840
Patan,15,0,0,3751
Porbandar,14,0,1,983
Rajkot City,37,0,12,5368
Rajkot Rural,32,0,1,2809
Sabarkantha,23,0,1,3757
Surat City,89,0,3,11453
Surat Rural,32,0,2,6114
Surendranagar,28,0,3,3722
Tapi,13,0,2,3400
Vadodara City,18,0,1,4320
Vadodara Rural,25,0,0,5522
Valsad,25,0,0,6847
W Rly Ahmedabad,2,0,0,1271
W Rly Vadodara,2,0,0,1228
Cyber Ahmedabad Range,0,0,0,26
Cyber Bhavnagar Range,0,0,0,7
Cyber Border Range,0,0,0,9
Cyber Gandhinagar Range,0,0,0,12
Cyber Junagadh Range,0,0,0,41
Cyber Panchmahal Range,0,0,0,1
Cyber Rajkot Range,0,0,0,2
Cyber Surat Range,0,0,0,10
Cyber Vadodara Range,0,0,0,2
Ambala,26,0,6,4892
Bhiwani,42,0,0,4019
Faridabad,96,0,1,10294
Fatehabad,24,0,1,3440
GRP,16,0,0,1387
Gurugram,82,1,1,15863
Hissar,54,1,3,8092
Jhajjar,61,0,3,3695
Jind,48,0,0,4175
Kaithal,34,0,0,3367
Karnal,61,0,74,9805
Kurukshetra,26,0,3,4678
Mahendergarh,28,0,0,3389
Nuh,30,0,0,3011
Palwal,52,0,1,4299
Panchkula,8,0,2,3032
Panipat,63,0,17,8003
Rewari,32,0,3,3910
Rohtak,59,1,40,6358
Sirsa,36,0,1,5426
Sonipat,93,0,32,7040
Yamunanagar,37,0,7,5850
Irrigation & Power,0,0,0,1686
Charkhi Dadri,15,2,0,1539
Hansi,19,0,0,2044
Baddi,7,0,0,753
Bilaspur,7,0,0,1077
Chamba,8,0,0,597
CID,0,0,0,16
GRP,1,0,0,19
Hamirpur,3,0,0,873
Kangra,9,0,0,1901
Kinnaur,2,0,0,268
Kullu,7,0,0,811
Lahaul & Spiti,1,0,0,80
Mandi,11,0,0,1907
Shimla,14,0,1,1655
Sirmaur,8,0,0,1027
Solan,5,0,0,906
Una,6,0,0,881
Cyber,0,0,0,19
Nurpur,4,0,0,715
Bokaro,54,0,0,3501
Chaibasa,85,0,0,799
Chatra,60,0,0,1623
Deoghar,76,0,0,2835
Dhanbad,80,0,0,5404
Dhanbad Railway,1,0,0,489
Dumka,53,0,0,1159
Garhwa,78,0,0,1924
Giridih,93,0,0,3409
Godda,56,0,0,1581
Gumla,86,0,0,904
Hazaribagh,68,0,0,4353
Jamshedpur,72,0,0,3220
Jamshedpur Railway,0,0,0,206
Jamtara,18,0,0,614
Khunti,54,0,0,530
Koderma,34,0,0,964
Latehar,51,0,0,856
Lohardagga,26,0,0,711
Pakur,23,0,0,724
Palamu,98,0,1,2803
Ramgarh,37,0,0,839
Ranchi,133,0,0,7660
Sahebganj,55,0,0,1462
Saraikela,35,0,0,1103
Simdega,37,0,0,514
Bagalkot,35,0,0,2317
Bengaluru City,206,19,11,41637
Bengaluru District,64,0,0,7568
Belagavi District,72,0,4,4955
Ballari,18,0,0,2053
Bidar,41,1,11,3110
Vijayapura,59,0,2,3103
Chikkaballapura,24,0,0,2734
Chamarajnagar,20,0,0,1951
Chikkamagaluru,32,0,0,3036
Chitradurga,32,0,0,4367
Dakshina Kannada,11,0,0,1835
Davanagere,20,0,6,3755
Dharwad,19,0,0,1237
Gadag,16,0,0,1229
Kalaburgi,57,0,0,2555
Hassan,38,0,5,5163
Haveri,12,0,0,2519
Hubballi Dharwad City,25,0,0,1776
KGF,12,0,0,836
Kodagu,28,0,0,1576
Kolar,43,0,0,2552
Koppal,26,0,0,1819
Mandya,45,0,1,4932
Mangaluru City,19,0,1,2122
Mysuru City,30,0,0,2553
Mysuru District,30,1,0,4542
Raichur,45,0,0,2642
KRailways,8,0,0,928
Ramanagara,37,0,0,4163
Shimoga,38,1,0,4654
Tumakuru,53,0,0,6440
Udupi,12,0,0,2444
Uttara Kannada,14,0,0,2460
Yadgiri,15,0,2,1442
Belagavi City,19,0,0,1694
Kalaburgi City,28,0,1,2112
Vijayanagara,19,0,0,1837
Alapuzha,23,0,265,11945
Ernakulam Commr,12,0,186,24729
Ernakulam Rural,35,0,184,12100
Idukki,20,0,75,14967
Kannur City,7,0,85,4085
Kasargod,12,0,63,3290
Kollam Commr,18,0,231,11191
Kollam Rural,19,0,198,8672
Kottayam,27,0,163,30534
Kozhikode Commr,6,0,110,10605
Kozhikode Rural,8,0,99,6994
Malappuram,24,0,154,18964
Palakkad,21,0,65,15609
Pathanamthitta,18,0,96,8811
Railways,4,0,3,362
Thrissur Commr,21,0,143,10136
Thrissur Rural,16,0,131,10110
Trivandrum Commr,9,0,187,19606
Trivandrum Rural,30,0,298,27733
Wayanadu,15,0,19,3880
Crime Branch,0,0,0,4
Kannur Rural,7,0,37,4211
Agar,10,0,0,2062
Alirajpur,46,0,0,2047
Anuppur,22,0,0,1986
Ashok Nagar,24,0,0,3000
Balaghat,38,0,0,3523
Barwani,31,0,0,3404
Betul,44,0,0,4327
Bhind,35,0,32,4234
Bhopal Commissionarate,37,0,16,15507
Bhopal Railway,0,0,0,5395
