District,total_crime,risk_score
Charkhi Dadri,1539.0,3.4296793171840525
Chatra,1623.0,3.6168742896619346
Chengalpattu,4897.0,10.913021193145099
Chennai,15698.0,34.98317473759276
Chhatarpur,5758.0,12.831769661043388
Chhatrapati Sambhajinagar Commr,5814.0,12.956566309361978
Chhatrapati Sambhajinagar Railway,4565.0,10.173155349542041
Chhatrapati Sambhajinagar Rural,5811.0,12.949880774630623
Chhindwara,5315.0,11.844539032380274
Chhotaudepur,3319.0,7.396429924453457
Chikkaballapura,2734.0,6.092750651839636
Chikkamagaluru,3036.0,6.765761148129165
Chirang,384.0,0.855748445613175
Chitradurga,4367.0,9.731910057272747
Chitrakoot,1621.0,3.6124172665076997
Chittoor,6025.0,13.426782252133801
Chittorgarh,4742.0,10.567601898691864
Churachandpur,3223.0,7.182492813050163
Churu,3966.0,8.838276914848572
Coimbatore,4294.0,9.56922871214316
Coimbatore City,4697.0,10.467318877721569
Coochbehar,4414.0,9.836650101397277
Crime,4.0,0.008914046308470574
Crime Branch,43.333333333333336,0.0965688350084312
Crime and EOU,21.0,0.04679874311947051
Cuddalore,8344.0,18.59470059946961
Cuttack,4924.0,10.973191005727275
Cyber,9.5,0.02117085998261761
Cyber Ahmedabad Range,26.0,0.05794130100505872
Cyber Bhavnagar Range,7.0,0.015599581039823502
Cyber Border Range,9.0,0.02005660419405879
Cyber Cell,0.3333333333333333,0.0007428371923725477
Cyber Crime Cell,0.0,0.0
Cyber Crime Jammu,0.0,0.0
Cyber Crime Kashmir,0.0,0.0
Cyber Crime Wing,30.0,0.0668553473135293
Cyber Gandhinagar Range,12.0,0.026742138925411718
Cyber Junagadh Range,41.0,0.09136897466182337
Cyber Panchmahal Range,1.0,0.0022285115771176435
Cyber Rajkot Range,2.0,0.004457023154235287
Cyber Security,10.0,0.022285115771176433
Cyber Surat Range,10.0,0.022285115771176433
Cyber Vadodara Range,2.0,0.004457023154235287
Cyberabad Commissionerate,22398.0,49.91420230428097
D&N Haveli,547.0,1.2189958326833508
DCP BBSR,10740.0,23.934214338243486
DCP CTC,6251.0,13.930425868562388
Dahod,3709.0,8.265549439529337
Dakshin Dinajpur,2544.0,5.669333452187284
Dakshina Kannada,1835.0,4.089318744010876
Daman,174.0,0.3877610144184699
Damoh,4196.0,9.35083457758563
Dang,335.0,0.7465513783344104
Dantewara,444.0,0.9894591402402335
Darbhanga,5599.0,12.477436320281683
Darjeeling,1344.0,2.9951195596461124
Darrang,1441.0,3.2112851826265234
Datia,2848.0,6.346800971631048
